deviceId,time,ExpiredCO2,ExpiredO2,MVe,flowrate,frequency,pressure,ventilationMode,volumePerMinute,volumePerMovement,current,pressure1,pressure2,temperature1,temperature2
4242,1587245278,4.89,39.52,6345,-20994,10,3,Flowrate Control,2200,220,50,60,246,43.71,36.19
4242,1587245280,4.96,39.38,6345,-1791,10,1,Flowrate Control,2200,220,50,42,84,43.48,36.32
4242,1587245282,4.91,38.65,6345,-22016,10,3,Flowrate Control,2200,220,50,62,262,43.23,36.32
4242,1587245284,4.92,38.3,6345,-1791,10,1,Flowrate Control,2200,220,50,42,84,43.66,36.09
4242,1587245286,4.88,37.62,6345,-22150,10,3,Flowrate Control,2200,220,50,62,262,43.37,36.35
4242,1587245288,4.94,37.82,0,-1791,10,1,Flowrate Control,2200,220,50,344,95,43.76,36.41
4242,1587245290,4.91,38.37,6345,-20879,10,3,Flowrate Control,2200,220,50,60,243,43.77,36.7
4242,1587245292,4.89,38.26,0,-1668,10,1,Flowrate Control,2200,220,50,460,113,43.6,36.79
4242,1587245294,4.89,37.97,6345,-20994,10,3,Flowrate Control,2200,220,50,60,244,43.53,36.48
4242,1587245296,4.97,37.65,6345,-1791,10,1,Flowrate Control,2200,220,50,42,84,43.11,36.6
4242,1587245298,5.03,38.1,6345,-21981,10,3,Flowrate Control,2200,220,50,62,262,43.37,36.72
4242,1587245300,5.03,37.95,0,-1669,10,1,Flowrate Control,2200,220,50,344,95,43.38,36.66
4242,1587245302,5.05,38.49,6345,-22033,10,3,Flowrate Control,2200,220,50,62,262,43.08,36.44
4242,1587245304,5.14,38.0,0,-1669,10,1,Flowrate Control,2200,220,50,396,97,42.97,36.76
4242,1587245306,5.08,37.46,6345,-21277,10,3,Flowrate Control,2200,220,50,60,243,42.68,36.77
4242,1587245308,5.07,37.5,6345,-1791,10,1,Flowrate Control,2200,220,50,42,84,42.61,36.53
4242,1587245310,5.1,37.18,6345,-22023,10,3,Flowrate Control,2200,220,50,62,262,42.61,36.29
4242,1587245312,5.19,37.35,0,-1669,10,1,Flowrate Control,2200,220,50,344,93,42.55,36.55
