deviceId,time,ExpiredCO2,ExpiredO2,MVe,flowrate,frequency,pressure,ventilationMode,volumePerMinute,volumePerMovement,current,pressure1,pressure2,temperature1,temperature2
93,1587245278,4.66,41.06,6345,-21460,10,4,Flowrate Control,2200,220,50,68,277,27.15,27.15
93,1587245280,4.63,41.07,6345,-3112,10,1,Flowrate Control,2200,220,50,46,99,26.88,27.4
93,1587245282,4.69,41.6,6345,-15125,10,4,Flowrate Control,2200,220,50,81,293,26.62,27.6
93,1587245284,4.6,42.23,6345,-3732,10,1,Flowrate Control,2200,220,50,46,99,26.46,27.45
93,1587245286,4.64,41.58,6345,-13870,10,5,Flowrate Control,2200,220,50,85,293,26.45,27.37
93,1587245288,4.69,40.82,6345,-3732,10,1,Flowrate Control,2200,220,50,46,99,26.53,27.15
93,1587245290,4.68,41.0,6345,-21546,10,4,Flowrate Control,2200,220,50,68,273,26.34,27.04
93,1587245292,4.66,40.44,6345,-3112,10,1,Flowrate Control,2200,220,50,45,94,26.35,27.05
93,1587245294,4.71,41.02,6345,-21863,10,4,Flowrate Control,2200,220,50,68,274,26.13,26.83
93,1587245296,4.79,40.64,6345,-3112,10,1,Flowrate Control,2200,220,50,46,96,26.2,26.86
93,1587245298,4.86,41.25,6345,-13734,10,5,Flowrate Control,2200,220,50,82,294,26.0,27.0
93,1587245300,4.77,41.77,6345,-3403,10,1,Flowrate Control,2200,220,50,46,96,26.22,26.92
93,1587245302,4.7,40.95,6345,-14823,10,4,Flowrate Control,2200,220,50,81,288,26.26,27.1
93,1587245304,4.78,41.71,6345,-3403,10,1,Flowrate Control,2200,220,50,46,96,26.21,26.96
93,1587245306,4.78,42.03,6345,-21638,10,4,Flowrate Control,2200,220,50,68,276,26.43,26.87
93,1587245308,4.69,42.38,6345,-3402,10,1,Flowrate Control,2200,220,50,46,99,26.36,26.65
93,1587245310,4.77,42.44,6345,-15138,10,4,Flowrate Control,2200,220,50,82,294,26.53,26.7
93,1587245312,4.71,41.59,6345,-3732,10,1,Flowrate Control,2200,220,50,46,99,26.32,26.66
93,1587245314,4.78,40.83,6345,-21619,10,4,Flowrate Control,2200,220,50,68,274,26.35,26.76
93,1587245316,4.74,41.22,6345,-2855,10,1,Flowrate Control,2200,220,50,46,96,26.6,26.64
93,1587245318,4.69,41.09,6345,-21335,10,4,Flowrate Control,2200,220,50,68,277,26.49,26.67
93,1587245320,4.75,41.45,6345,-3112,10,1,Flowrate Control,2200,220,50,45,96,26.3,26.68
93,1587245322,4.79,40.64,6345,-21959,10,4,Flowrate Control,2200,220,50,68,274,26.37,26.47
93,1587245324,4.71,41.45,6345,-3112,10,1,Flowrate Control,2200,220,50,46,96,26.22,26.7
